Date,Open,High,Low,Close,Volume
2021-04-01,58926.5625,64863.09765625,28893.62109375,35040.8359375,5010722662696
2021-07-01,35035.984375,52853.765625,29360.955078125,43790.89453125,2935917244456
2021-10-01,43816.7421875,68789.625,42874.6171875,46306.4453125,3163395359639
2022-01-01,46311.74609375,48086.8359375,33184.05859375,45538.67578125,2426258869441
2022-04-01,45554.1640625,47313.4765625,17708.623046875,19784.7265625,2859744416317
2022-07-01,19820.470703125,25135.58984375,18290.314453125,19431.7890625,2945047268317
2022-10-01,19431.10546875,21446.88671875,15599.046875,16547.49609375,2723791690085
2023-01-01,16547.9140625,29159.90234375,16521.234375,28478.484375,2298262296550
2023-04-01,28473.33203125,31389.5390625,24797.16796875,30477.251953125,1436747548708
2023-07-01,30471.84765625,31814.515625,24930.296875,26967.916015625,1157585972331
2023-10-01,26967.396484375,44705.515625,26558.3203125,42265.1875,1768993812720
2024-01-01,42280.234375,73750.0703125,38521.89453125,71333.6484375,3103058648918
2024-04-01,71333.484375,72715.359375,56555.29296875,62678.29296875,2617133807105
2024-07-01,62673.60546875,69987.5390625,49121.23828125,63329.5,2875618973337
2024-10-01,63335.60546875,108268.4453125,58895.20703125,93429.203125,5106896863447
2025-01-01,93425.1015625,109114.8828125,76624.25,82548.9140625,3975555544487
2025-04-01,82551.921875,111970.171875,74436.6796875,107135.3359375,3981649364661
2025-07-01,107144.3828125,124457.1171875,105157.3984375,114056.0859375,5560134833808
2025-10-01,114057.59375,126198.0703125,80659.8125,87508.828125,5834309198369
2026-01-01,87508.046875,97860.6015625,87231.5703125,88928.8515625,846654233498
